Age,Grade_Level,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Instructor_VR_Proficiency,Access_to_VR_Equipment,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR
19,Undergraduate,Yes,10,5,Yes,Intermediate,Yes,Medium,Yes
21,Postgraduate,Yes,1,1,Yes,Beginner,No,Low,Yes
18,Postgraduate,Yes,0,1,No,Intermediate,No,Low,No
24,High School,Yes,9,4,Yes,Intermediate,Yes,Low,No
20,High School,Yes,7,4,Yes,Beginner,Yes,Medium,No
16,Postgraduate,Yes,2,2,No,Intermediate,No,Low,Yes
22,High School,Yes,11,5,Yes,Advanced,Yes,Low,No
30,High School,Yes,14,5,Yes,Intermediate,No,High,No
23,High School,Yes,5,1,Yes,Beginner,Yes,Medium,Yes
29,Postgraduate,No,4,1,No,Intermediate,No,Low,No
19,Undergraduate,Yes,3,1,No,Beginner,Yes,Medium,No
14,High School,Yes,3,1,Yes,Advanced,Yes,High,Yes
26,High School,No,10,4,No,Advanced,Yes,Medium,Yes
26,Postgraduate,Yes,12,5,No,Intermediate,No,Low,Yes
15,Undergraduate,Yes,5,1,Yes,Intermediate,Yes,Medium,Yes
26,Undergraduate,Yes,5,2,Yes,Advanced,Yes,Low,Yes
26,Postgraduate,Yes,1,1,No,Intermediate,Yes,Low,No
17,Undergraduate,Yes,9,3,Yes,Intermediate,Yes,High,Yes
19,Undergraduate,Yes,4,1,Yes,Intermediate,Yes,Medium,No
12,Postgraduate,Yes,1,1,Yes,Beginner,Yes,Medium,Yes
14,High School,No,3,1,No,Beginner,Yes,Medium,Yes
21,Undergraduate,No,5,1,Yes,Advanced,Yes,Medium,Yes
28,Undergraduate,Yes,2,1,No,Intermediate,Yes,Low,No
26,Undergraduate,Yes,7,4,Yes,Intermediate,Yes,Low,Yes
18,High School,Yes,4,1,Yes,Advanced,No,High,Yes
12,Undergraduate,Yes,1,1,No,Beginner,Yes,Low,No
13,High School,Yes,6,3,Yes,Advanced,Yes,Low,No
26,Postgraduate,Yes,2,2,Yes,Intermediate,Yes,High,Yes
12,Undergraduate,No,1,1,No,Beginner,Yes,High,No
22,Undergraduate,No,6,4,No,Intermediate,Yes,Low,Yes
22,High School,Yes,3,1,Yes,Intermediate,Yes,Low,Yes
24,Postgraduate,Yes,2,1,Yes,Advanced,Yes,Low,No
22,High School,Yes,4,2,Yes,Beginner,Yes,Low,Yes
29,Undergraduate,Yes,1,1,No,Beginner,Yes,High,Yes
30,High School,Yes,3,2,Yes,Advanced,Yes,High,Yes
19,Undergraduate,Yes,1,1,Yes,Beginner,Yes,High,Yes
20,Undergraduate,Yes,5,3,No,Intermediate,Yes,Low,No
20,Postgraduate,Yes,3,1,Yes,Advanced,Yes,Low,No
26,High School,No,2,1,Yes,Intermediate,Yes,Low,Yes
25,Undergraduate,Yes,7,4,Yes,Advanced,Yes,Low,Yes
13,Undergraduate,Yes,6,2,No,Intermediate,Yes,High,Yes
19,Undergraduate,Yes,3,1,Yes,Beginner,Yes,Medium,No
27,High School,Yes,6,4,Yes,Beginner,Yes,Low,No
25,High School,Yes,5,3,No,Beginner,Yes,Medium,No
21,Postgraduate,Yes,11,5,Yes,Beginner,No,Low,No
17,Postgraduate,Yes,1,1,Yes,Intermediate,Yes,Medium,No
28,Undergraduate,Yes,4,1,Yes,Beginner,Yes,High,No
30,Postgraduate,Yes,14,5,Yes,Beginner,Yes,Medium,Yes
30,High School,No,2,1,No,Advanced,Yes,Low,No
23,Postgraduate,No,4,1,No,Beginner,Yes,Medium,Yes
29,Postgraduate,Yes,2,1,Yes,Advanced,Yes,Medium,No
25,Postgraduate,Yes,11,5,Yes,Intermediate,Yes,Low,Yes
15,High School,No,4,2,Yes,Beginner,No,High,Yes
27,High School,Yes,5,2,Yes,Intermediate,No,Medium,Yes
24,High School,Yes,1,1,Yes,Intermediate,Yes,High,Yes
21,High School,No,3,1,Yes,Intermediate,Yes,High,No
14,Postgraduate,No,8,3,No,Intermediate,Yes,High,Yes
27,Postgraduate,Yes,2,2,Yes,Beginner,Yes,Low,No
18,Undergraduate,Yes,5,3,No,Beginner,Yes,High,Yes
21,Undergraduate,Yes,4,1,Yes,Beginner,Yes,High,No
27,Postgraduate,Yes,9,3,Yes,Intermediate,No,Low,Yes
26,Undergraduate,Yes,8,3,No,Advanced,Yes,Low,Yes
22,Postgraduate,Yes,10,5,Yes,Intermediate,Yes,Low,Yes
22,High School,Yes,3,1,Yes,Intermediate,No,High,No
14,Postgraduate,Yes,6,2,Yes,Beginner,Yes,Low,No
25,High School,Yes,8,3,No,Beginner,Yes,Medium,No
21,Undergraduate,Yes,3,1,Yes,Intermediate,Yes,High,Yes
16,Postgraduate,No,2,1,Yes,Intermediate,No,Medium,No
19,High School,Yes,11,5,No,Intermediate,Yes,Low,Yes
26,Undergraduate,Yes,3,1,Yes,Advanced,Yes,High,No
16,Postgraduate,Yes,5,1,Yes,Intermediate,Yes,Low,No
25,Undergraduate,Yes,4,2,Yes,Intermediate,No,Medium,No
13,Postgraduate,Yes,17,5,No,Beginner,Yes,Low,Yes
27,Undergraduate,Yes,10,5,Yes,Advanced,Yes,Low,Yes
17,Postgraduate,Yes,3,1,Yes,Beginner,Yes,High,No
20,High School,Yes,2,1,No,Advanced,Yes,High,No
30,Undergraduate,Yes,7,4,No,Beginner,Yes,Low,No
26,Undergraduate,Yes,9,5,Yes,Intermediate,Yes,Low,Yes
15,High School,No,6,4,Yes,Intermediate,Yes,Low,Yes
28,Postgraduate,No,2,2,Yes,Intermediate,Yes,Medium,Yes
25,Undergraduate,Yes,9,5,Yes,Intermediate,Yes,Medium,No
25,Postgraduate,Yes,10,5,No,Advanced,Yes,Medium,No
20,Undergraduate,Yes,4,3,Yes,Advanced,Yes,High,No
17,Undergraduate,Yes,7,3,No,Advanced,Yes,Medium,Yes
19,Undergraduate,Yes,2,1,Yes,Beginner,Yes,Medium,No
25,Postgraduate,Yes,10,4,Yes,Intermediate,Yes,Low,Yes
30,Postgraduate,Yes,2,2,No,Advanced,No,High,Yes
16,High School,Yes,3,1,Yes,Intermediate,Yes,Low,No
23,High School,Yes,6,2,No,Intermediate,Yes,Medium,No
27,Postgraduate,Yes,5,2,No,Beginner,Yes,Medium,No
28,High School,Yes,12,5,Yes,Advanced,Yes,Medium,Yes
14,Postgraduate,Yes,1,1,No,Intermediate,Yes,Medium,No
15,Postgraduate,No,4,1,Yes,Intermediate,Yes,Low,Yes
20,High School,Yes,8,4,No,Intermediate,Yes,Medium,Yes
25,Undergraduate,Yes,3,1,Yes,Intermediate,Yes,Medium,No
19,Postgraduate,Yes,5,3,No,Beginner,Yes,Medium,Yes
15,Undergraduate,Yes,6,2,Yes,Intermediate,No,Low,No
21,Postgraduate,Yes,4,1,Yes,Beginner,No,Low,No
15,Postgraduate,Yes,4,1,Yes,Intermediate,Yes,High,Yes
23,Postgraduate,Yes,4,2,No,Advanced,Yes,Low,Yes
21,High School,No,13,5,No,Intermediate,Yes,Low,No
21,Undergraduate,Yes,12,5,No,Intermediate,Yes,Medium,Yes
13,Postgraduate,No,7,2,No,Intermediate,Yes,Medium,Yes
15,High School,Yes,1,1,Yes,Intermediate,Yes,High,No
29,Postgraduate,No,13,5,No,Beginner,Yes,Medium,Yes
21,High School,Yes,5,1,No,Intermediate,No,High,Yes
27,High School,Yes,4,1,Yes,Intermediate,Yes,Low,No
20,Postgraduate,Yes,6,4,Yes,Beginner,No,High,Yes
28,High School,Yes,10,5,Yes,Advanced,Yes,Low,Yes
23,High School,Yes,4,3,No,Intermediate,Yes,Low,Yes
29,Postgraduate,Yes,4,3,No,Beginner,Yes,High,No
23,Postgraduate,Yes,16,5,Yes,Intermediate,Yes,High,No
13,Postgraduate,Yes,3,1,Yes,Intermediate,Yes,Low,Yes
19,Undergraduate,Yes,9,3,Yes,Beginner,Yes,Medium,Yes
23,Undergraduate,Yes,4,1,Yes,Advanced,Yes,Medium,Yes
13,Undergraduate,Yes,6,3,No,Beginner,No,High,Yes
24,Undergraduate,Yes,6,3,Yes,Beginner,Yes,Low,Yes
28,Postgraduate,Yes,6,3,No,Beginner,Yes,Medium,No
27,High School,No,5,1,No,Beginner,Yes,Low,Yes
17,Undergraduate,Yes,6,3,Yes,Advanced,Yes,High,No
28,Undergraduate,Yes,6,2,No,Intermediate,Yes,Low,No
13,High School,Yes,6,2,Yes,Advanced,No,Low,No
29,Undergraduate,Yes,12,5,Yes,Advanced,Yes,Low,Yes
24,Undergraduate,Yes,1,1,Yes,Beginner,Yes,Medium,No
21,Undergraduate,Yes,4,1,Yes,Intermediate,No,Low,Yes
25,Undergraduate,Yes,1,1,Yes,Beginner,Yes,High,No
13,Postgraduate,No,6,3,No,Beginner,Yes,Medium,Yes
15,Postgraduate,Yes,4,2,No,Beginner,No,High,No
20,High School,Yes,3,1,Yes,Beginner,Yes,Medium,Yes
21,Postgraduate,Yes,14,5,Yes,Intermediate,Yes,Medium,Yes
24,High School,Yes,5,2,Yes,Intermediate,Yes,Medium,Yes
12,Undergraduate,No,3,1,No,Intermediate,Yes,Medium,No
23,High School,Yes,1,1,Yes,Intermediate,Yes,Medium,No
21,Undergraduate,Yes,4,1,Yes,Intermediate,No,Medium,No
18,High School,Yes,4,3,No,Intermediate,No,High,Yes
21,High School,Yes,7,4,Yes,Beginner,Yes,Medium,No
20,Undergraduate,No,1,1,Yes,Advanced,No,High,No
14,High School,Yes,3,2,Yes,Beginner,Yes,Medium,Yes
21,Postgraduate,Yes,2,2,Yes,Beginner,Yes,High,Yes
20,Postgraduate,Yes,3,2,Yes,Beginner,Yes,Medium,Yes
15,Undergraduate,Yes,1,1,Yes,Beginner,No,Medium,No
25,Undergraduate,Yes,9,5,Yes,Beginner,Yes,Low,Yes
16,Undergraduate,Yes,2,1,Yes,Intermediate,Yes,Medium,Yes
29,Postgraduate,Yes,7,4,Yes,Intermediate,Yes,High,Yes
26,Undergraduate,Yes,22,5,Yes,Beginner,Yes,Low,Yes
23,High School,No,2,1,Yes,Intermediate,Yes,Low,Yes
17,Postgraduate,Yes,3,1,No,Advanced,Yes,High,Yes
20,High School,Yes,1,1,Yes,Advanced,No,Low,No
27,Undergraduate,Yes,9,5,No,Beginner,Yes,Low,Yes
12,Postgraduate,Yes,5,2,Yes,Beginner,Yes,Medium,Yes
22,Undergraduate,Yes,2,1,Yes,Advanced,Yes,Medium,No
25,Undergraduate,Yes,10,4,Yes,Beginner,Yes,High,Yes
19,Undergraduate,Yes,3,1,Yes,Intermediate,No,Medium,No
26,Undergraduate,Yes,2,1,Yes,Beginner,Yes,High,No
15,Postgraduate,Yes,12,5,No,Beginner,Yes,Low,No
26,Postgraduate,Yes,5,2,No,Intermediate,Yes,Medium,No
23,Undergraduate,Yes,4,3,Yes,Beginner,Yes,Low,No
23,Undergraduate,No,4,3,Yes,Intermediate,Yes,Low,No
17,Postgraduate,Yes,1,1,Yes,Advanced,Yes,Medium,No
18,Undergraduate,Yes,12,5,Yes,Intermediate,Yes,Low,Yes
21,Postgraduate,Yes,3,1,Yes,Intermediate,Yes,High,No
19,Undergraduate,Yes,10,4,Yes,Beginner,Yes,Medium,Yes
23,High School,Yes,15,5,No,Intermediate,No,Medium,Yes
26,Undergraduate,Yes,3,1,Yes,Beginner,Yes,High,No
22,High School,No,4,1,No,Beginner,Yes,Medium,Yes
15,High School,Yes,5,3,No,Beginner,Yes,Low,No
16,Undergraduate,Yes,3,1,Yes,Intermediate,Yes,Medium,Yes
25,Postgraduate,Yes,1,1,Yes,Intermediate,Yes,High,Yes
20,High School,Yes,2,2,Yes,Intermediate,Yes,Low,Yes
13,Postgraduate,Yes,5,2,Yes,Intermediate,Yes,Medium,No
16,Postgraduate,Yes,4,3,Yes,Intermediate,Yes,Medium,Yes
26,High School,Yes,6,2,No,Beginner,Yes,High,No
21,High School,No,11,4,Yes,Intermediate,Yes,Low,Yes
27,High School,Yes,3,1,Yes,Beginner,Yes,Low,Yes
26,High School,Yes,8,5,No,Beginner,Yes,Low,No
12,Undergraduate,Yes,4,2,No,Beginner,No,Medium,No
17,High School,Yes,14,5,Yes,Advanced,Yes,Low,No
20,Undergraduate,Yes,4,3,Yes,Beginner,Yes,Medium,No
26,Undergraduate,No,10,4,Yes,Intermediate,Yes,Medium,No
22,Undergraduate,Yes,3,2,Yes,Beginner,Yes,Medium,No
21,High School,Yes,1,1,Yes,Intermediate,Yes,Medium,Yes
26,High School,Yes,2,1,Yes,Beginner,Yes,Low,No
24,High School,Yes,2,1,Yes,Intermediate,Yes,Low,No
25,Postgraduate,Yes,11,5,Yes,Beginner,Yes,Low,No
14,Postgraduate,Yes,5,1,Yes,Intermediate,No,High,No
16,Undergraduate,Yes,2,1,Yes,Advanced,No,Low,No
30,Postgraduate,Yes,0,1,Yes,Beginner,No,High,No
21,Undergraduate,Yes,7,2,Yes,Intermediate,Yes,High,Yes
16,Undergraduate,No,13,5,No,Beginner,Yes,Low,No
21,Undergraduate,Yes,2,1,Yes,Beginner,No,High,No
22,High School,Yes,2,1,Yes,Intermediate,Yes,Medium,No
14,Postgraduate,Yes,3,1,Yes,Intermediate,Yes,Medium,No
28,Postgraduate,No,7,4,No,Beginner,Yes,Low,No
26,Postgraduate,Yes,7,3,Yes,Beginner,Yes,Low,Yes
12,High School,Yes,2,1,Yes,Advanced,Yes,High,No
28,High School,Yes,11,4,Yes,Advanced,Yes,Low,Yes
23,High School,Yes,1,1,No,Beginner,Yes,High,No
23,High School,No,12,5,No,Beginner,No,Medium,Yes
25,Undergraduate,No,4,3,Yes,Intermediate,Yes,High,Yes
26,Postgraduate,No,7,4,Yes,Advanced,Yes,Medium,Yes
27,Undergraduate,Yes,2,1,Yes,Intermediate,Yes,Medium,Yes
24,Postgraduate,Yes,1,1,No,Intermediate,Yes,High,No
12,High School,No,2,1,Yes,Beginner,Yes,High,Yes
22,Undergraduate,Yes,9,4,Yes,Advanced,No,Low,Yes
15,Undergraduate,No,2,2,Yes,Beginner,Yes,Low,Yes
15,High School,No,2,1,No,Beginner,Yes,Medium,No
24,Undergraduate,Yes,17,5,Yes,Advanced,No,Medium,Yes
26,Postgraduate,Yes,3,2,Yes,Intermediate,Yes,High,No
17,Postgraduate,No,1,1,Yes,Beginner,Yes,Low,Yes
14,High School,No,4,2,Yes,Intermediate,Yes,Low,Yes
24,Postgraduate,No,2,2,No,Beginner,Yes,High,No
21,Undergraduate,Yes,3,1,Yes,Advanced,No,High,No
26,Postgraduate,Yes,2,1,No,Intermediate,Yes,Low,Yes
29,Postgraduate,Yes,11,4,Yes,Beginner,Yes,Medium,Yes
12,Undergraduate,Yes,4,1,No,Intermediate,Yes,High,Yes
12,Postgraduate,Yes,5,2,No,Advanced,No,Medium,No
28,Undergraduate,Yes,5,1,No,Beginner,No,Medium,Yes
30,High School,Yes,2,2,Yes,Intermediate,Yes,High,No
28,Undergraduate,Yes,10,4,No,Beginner,Yes,Low,No
12,Postgraduate,No,2,2,No,Advanced,No,Medium,No
14,Undergraduate,Yes,2,1,Yes,Beginner,No,Medium,No
25,High School,Yes,1,1,No,Advanced,Yes,Low,No
16,High School,Yes,5,2,No,Beginner,No,High,No
18,Postgraduate,No,9,4,Yes,Beginner,Yes,Low,No
15,High School,No,8,3,No,Intermediate,No,High,No
12,Undergraduate,Yes,3,1,Yes,Intermediate,Yes,Medium,No
20,Postgraduate,Yes,3,1,Yes,Intermediate,Yes,High,No
29,Postgraduate,Yes,5,1,No,Advanced,Yes,Medium,No
16,High School,Yes,2,1,Yes,Intermediate,No,Medium,No
25,Undergraduate,Yes,5,1,Yes,Intermediate,No,Medium,Yes
30,Postgraduate,No,6,3,No,Beginner,Yes,High,Yes
15,Undergraduate,Yes,7,2,No,Advanced,Yes,High,Yes
28,High School,Yes,14,5,No,Beginner,No,Low,Yes
23,Undergraduate,Yes,7,2,Yes,Intermediate,Yes,Medium,No
24,High School,No,4,1,No,Intermediate,Yes,High,Yes
13,Postgraduate,No,4,1,Yes,Intermediate,No,High,Yes
28,Postgraduate,No,3,2,No,Intermediate,Yes,Medium,No
19,Postgraduate,Yes,4,1,No,Beginner,Yes,High,No
26,Postgraduate,Yes,4,1,Yes,Advanced,Yes,Medium,Yes
13,Undergraduate,Yes,4,2,Yes,Intermediate,No,High,Yes
19,High School,Yes,2,1,No,Beginner,Yes,High,Yes
22,High School,Yes,6,3,Yes,Intermediate,Yes,High,No
21,Undergraduate,Yes,2,1,Yes,Beginner,Yes,High,No
23,Postgraduate,Yes,4,3,Yes,Intermediate,Yes,High,No
28,Undergraduate,Yes,7,2,Yes,Intermediate,No,Medium,No
20,Undergraduate,No,5,3,Yes,Intermediate,No,High,No
22,Undergraduate,Yes,5,3,Yes,Advanced,No,High,No
28,Undergraduate,Yes,8,4,Yes,Beginner,Yes,Low,Yes
21,Postgraduate,Yes,9,5,No,Intermediate,Yes,Low,Yes
22,Undergraduate,Yes,2,2,Yes,Intermediate,Yes,Medium,No
12,Postgraduate,Yes,8,5,No,Intermediate,Yes,Low,Yes
30,Postgraduate,Yes,6,4,Yes,Advanced,Yes,Low,Yes
12,Postgraduate,No,4,2,No,Intermediate,Yes,High,Yes
24,Postgraduate,Yes,4,2,No,Advanced,Yes,Medium,No
26,Undergraduate,Yes,2,1,Yes,Beginner,Yes,Low,No
26,Postgraduate,Yes,13,5,Yes,Advanced,Yes,Low,Yes
24,High School,Yes,2,1,Yes,Intermediate,No,High,Yes
14,Postgraduate,No,4,2,Yes,Beginner,Yes,High,Yes
28,Undergraduate,Yes,4,2,No,Intermediate,Yes,High,Yes
16,Undergraduate,Yes,9,5,Yes,Intermediate,Yes,Medium,Yes
27,Postgraduate,Yes,3,1,Yes,Advanced,No,Low,No
12,Postgraduate,Yes,2,2,Yes,Beginner,No,Medium,No
21,Undergraduate,Yes,7,4,Yes,Beginner,Yes,Low,Yes
27,Undergraduate,Yes,8,4,Yes,Intermediate,Yes,Low,Yes
12,High School,Yes,2,1,Yes,Beginner,Yes,Medium,No
28,Postgraduate,No,0,1,Yes,Advanced,No,Medium,Yes
29,Postgraduate,Yes,1,1,Yes,Beginner,Yes,Medium,Yes
27,Undergraduate,No,4,2,Yes,Advanced,No,Low,Yes
20,Undergraduate,Yes,9,3,Yes,Advanced,Yes,High,Yes
29,Undergraduate,Yes,5,2,No,Beginner,No,High,Yes
12,Undergraduate,Yes,0,1,No,Intermediate,Yes,High,No
30,Postgraduate,Yes,6,3,Yes,Intermediate,Yes,High,Yes
20,High School,No,5,2,No,Intermediate,No,Medium,No
28,Postgraduate,Yes,4,2,No,Intermediate,Yes,High,No
20,High School,No,6,4,No,Intermediate,Yes,Low,No
24,Undergraduate,Yes,8,3,Yes,Intermediate,Yes,Medium,No
12,High School,No,5,1,No,Intermediate,No,Medium,Yes
17,High School,Yes,4,3,Yes,Beginner,No,Medium,No
29,High School,Yes,9,4,Yes,Advanced,Yes,Low,Yes
29,Postgraduate,Yes,7,4,No,Beginner,Yes,Low,Yes
14,Undergraduate,Yes,3,1,Yes,Beginner,Yes,High,No
18,High School,Yes,4,1,No,Intermediate,Yes,Medium,No
23,High School,No,12,5,Yes,Intermediate,Yes,Medium,Yes
26,Undergraduate,Yes,5,1,Yes,Intermediate,Yes,High,No
20,Postgraduate,Yes,5,2,No,Beginner,Yes,High,Yes
19,Undergraduate,No,5,2,Yes,Beginner,Yes,Medium,Yes
18,Postgraduate,Yes,2,1,Yes,Beginner,Yes,High,No
30,High School,Yes,12,5,Yes,Advanced,Yes,Medium,Yes
21,Postgraduate,Yes,3,1,Yes,Intermediate,Yes,Medium,No
25,High School,No,7,3,Yes,Advanced,Yes,Low,Yes
30,Postgraduate,Yes,3,1,Yes,Beginner,Yes,Low,No
28,High School,No,1,1,No,Advanced,No,Medium,No
20,Undergraduate,Yes,11,4,Yes,Advanced,Yes,Low,Yes
19,High School,Yes,0,1,Yes,Advanced,Yes,High,Yes
23,Postgraduate,Yes,1,1,No,Advanced,Yes,Low,No
25,Postgraduate,Yes,5,3,Yes,Intermediate,Yes,High,No
21,Undergraduate,Yes,1,1,No,Beginner,No,Medium,Yes
14,Postgraduate,Yes,3,2,Yes,Intermediate,No,High,No
17,Postgraduate,Yes,2,1,No,Beginner,Yes,High,No
22,Postgraduate,Yes,4,2,No,Beginner,Yes,High,Yes
26,High School,No,3,2,Yes,Beginner,No,Medium,No
26,High School,No,0,1,No,Beginner,Yes,High,No
27,High School,Yes,3,1,Yes,Beginner,No,High,No
17,Postgraduate,Yes,4,3,Yes,Beginner,Yes,Medium,Yes
18,High School,Yes,2,1,No,Advanced,Yes,Medium,Yes
15,Postgraduate,No,4,2,No,Advanced,Yes,Medium,Yes
20,Postgraduate,Yes,0,1,No,Intermediate,Yes,Medium,Yes
18,High School,Yes,2,1,No,Beginner,Yes,Medium,No
29,Undergraduate,Yes,0,1,No,Intermediate,Yes,High,Yes
27,Undergraduate,Yes,1,1,Yes,Beginner,Yes,High,No
21,Postgraduate,Yes,3,2,No,Advanced,Yes,High,No
30,High School,Yes,13,5,Yes,Intermediate,No,Low,Yes
16,Undergraduate,Yes,5,3,Yes,Intermediate,No,High,No
15,High School,Yes,6,4,No,Beginner,Yes,Medium,Yes
25,Undergraduate,Yes,2,1,Yes,Advanced,Yes,Medium,No
22,Undergraduate,Yes,3,1,Yes,Beginner,Yes,High,No
28,Undergraduate,Yes,5,3,Yes,Beginner,Yes,High,Yes
30,Postgraduate,Yes,0,1,Yes,Beginner,Yes,High,Yes
26,Postgraduate,No,0,1,No,Advanced,Yes,High,Yes
24,High School,Yes,2,1,Yes,Intermediate,Yes,High,No
19,High School,Yes,4,1,Yes,Beginner,Yes,High,Yes
22,High School,No,7,4,No,Intermediate,No,Low,Yes
12,Undergraduate,No,2,1,Yes,Intermediate,Yes,Low,Yes
22,Undergraduate,No,1,1,Yes,Beginner,Yes,Medium,Yes
13,High School,Yes,1,1,Yes,Advanced,Yes,Medium,No
15,High School,Yes,5,1,Yes,Advanced,Yes,Low,No
17,Undergraduate,Yes,9,4,Yes,Advanced,Yes,Low,Yes
12,High School,No,8,3,Yes,Advanced,Yes,High,Yes
23,High School,Yes,1,1,Yes,Advanced,Yes,Medium,Yes
19,Postgraduate,Yes,4,1,Yes,Beginner,Yes,Medium,No
19,Undergraduate,No,12,5,No,Intermediate,Yes,Low,Yes
28,High School,Yes,2,2,Yes,Intermediate,No,Medium,No
19,Undergraduate,No,5,1,No,Intermediate,Yes,Medium,No
15,High School,Yes,10,5,No,Advanced,Yes,Low,Yes
27,Undergraduate,Yes,17,5,Yes,Beginner,Yes,Medium,Yes
17,Undergraduate,No,2,1,Yes,Advanced,Yes,High,No
19,Postgraduate,Yes,1,1,Yes,Beginner,Yes,Medium,No
13,High School,Yes,2,1,Yes,Beginner,Yes,High,No
29,Undergraduate,No,13,5,No,Beginner,Yes,Low,No
25,Postgraduate,Yes,4,3,Yes,Beginner,No,Medium,No
21,High School,No,4,1,No,Beginner,Yes,Medium,Yes
27,High School,Yes,6,4,Yes,Beginner,No,Medium,No
22,High School,Yes,10,4,Yes,Intermediate,Yes,Low,No
12,Undergraduate,Yes,5,3,Yes,Beginner,Yes,Low,No
26,High School,Yes,7,2,Yes,Intermediate,Yes,High,Yes
30,Undergraduate,Yes,8,3,No,Beginner,Yes,High,No
20,Postgraduate,Yes,5,1,Yes,Intermediate,Yes,Medium,No
18,High School,Yes,14,5,Yes,Beginner,No,Low,Yes
18,High School,Yes,6,4,No,Beginner,Yes,Medium,Yes
15,Undergraduate,No,5,2,No,Intermediate,Yes,Medium,Yes
15,Postgraduate,Yes,7,4,Yes,Advanced,Yes,Low,Yes
18,Undergraduate,Yes,5,1,No,Beginner,Yes,High,Yes
23,Postgraduate,Yes,5,2,Yes,Beginner,No,Medium,Yes
22,Postgraduate,No,0,1,No,Beginner,Yes,Medium,No
16,High School,Yes,2,1,Yes,Intermediate,Yes,Medium,No
18,Undergraduate,Yes,14,5,Yes,Beginner,Yes,Medium,Yes
27,High School,Yes,1,1,Yes,Beginner,Yes,High,No
14,Postgraduate,No,8,3,Yes,Advanced,Yes,High,No
23,Undergraduate,No,2,2,Yes,Beginner,Yes,Low,Yes
30,Postgraduate,No,1,1,No,Advanced,No,Medium,No
16,High School,No,6,3,No,Beginner,Yes,High,No
28,Postgraduate,Yes,1,1,No,Beginner,Yes,Low,No
28,Undergraduate,Yes,0,1,Yes,Beginner,No,Medium,Yes
22,Postgraduate,Yes,6,2,Yes,Beginner,Yes,High,No
16,High School,Yes,5,3,Yes,Advanced,Yes,Medium,Yes
21,High School,No,1,1,No,Beginner,Yes,High,No
22,Undergraduate,Yes,7,3,Yes,Intermediate,Yes,Medium,No
14,Undergraduate,No,4,1,No,Intermediate,No,Medium,No
17,Undergraduate,Yes,6,4,Yes,Intermediate,No,Low,Yes
22,Postgraduate,Yes,11,5,Yes,Intermediate,No,Low,No
12,High School,Yes,13,5,Yes,Intermediate,Yes,Medium,Yes
29,High School,Yes,10,4,Yes,Intermediate,No,Low,No
21,Postgraduate,Yes,1,1,No,Beginner,No,Medium,No
25,High School,Yes,4,1,Yes,Intermediate,Yes,High,Yes
20,Undergraduate,Yes,2,2,No,Intermediate,Yes,High,Yes
28,High School,Yes,2,2,No,Beginner,Yes,Medium,Yes
30,High School,Yes,3,1,No,Intermediate,Yes,Medium,No
19,Postgraduate,No,5,1,No,Intermediate,No,Medium,No
17,High School,Yes,1,1,Yes,Beginner,Yes,High,No
25,High School,Yes,9,3,Yes,Intermediate,Yes,High,Yes
29,Postgraduate,Yes,8,5,No,Beginner,Yes,High,Yes
30,High School,No,8,4,No,Beginner,Yes,Low,Yes
15,Postgraduate,Yes,4,1,Yes,Intermediate,Yes,Low,Yes
29,Postgraduate,No,2,2,Yes,Beginner,No,Medium,No
22,Undergraduate,Yes,3,1,Yes,Intermediate,Yes,High,Yes
15,Undergraduate,Yes,0,1,No,Advanced,No,Low,No
13,Undergraduate,Yes,1,1,No,Advanced,No,Medium,No
14,Postgraduate,Yes,5,3,Yes,Beginner,No,Medium,No
20,High School,Yes,0,1,Yes,Advanced,Yes,Medium,Yes
26,Undergraduate,Yes,3,1,Yes,Intermediate,Yes,Medium,No
22,High School,Yes,16,5,Yes,Advanced,Yes,High,No
24,Undergraduate,Yes,1,1,Yes,Advanced,Yes,High,No
16,Undergraduate,Yes,7,3,Yes,Beginner,Yes,High,No
28,High School,Yes,2,1,Yes,Advanced,Yes,High,Yes
24,Postgraduate,Yes,10,5,Yes,Intermediate,Yes,Medium,Yes
17,Postgraduate,Yes,0,1,No,Beginner,No,Medium,Yes
27,Postgraduate,Yes,2,1,Yes,Advanced,Yes,Medium,No
19,Postgraduate,Yes,3,1,Yes,Intermediate,Yes,Low,No
15,Postgraduate,Yes,3,1,Yes,Beginner,Yes,Medium,No
17,Postgraduate,No,1,1,No,Beginner,Yes,High,No
16,High School,Yes,5,1,Yes,Intermediate,Yes,Low,Yes
20,Postgraduate,Yes,9,3,Yes,Intermediate,Yes,High,No
28,Undergraduate,Yes,10,5,Yes,Beginner,Yes,Low,Yes
25,Postgraduate,Yes,1,1,No,Beginner,Yes,High,No
19,Undergraduate,No,12,5,Yes,Beginner,Yes,Low,Yes
21,High School,No,2,1,No,Intermediate,Yes,Low,No
16,High School,Yes,4,3,No,Intermediate,No,High,No
19,Postgraduate,No,1,1,No,Advanced,No,Medium,No
15,Undergraduate,Yes,9,5,No,Intermediate,Yes,High,Yes
26,High School,Yes,1,1,Yes,Intermediate,Yes,Medium,Yes
13,Postgraduate,Yes,3,1,No,Intermediate,No,Medium,No
20,Postgraduate,Yes,7,3,Yes,Intermediate,Yes,High,Yes
